teamID,yearID,R,AB,H,2B,3B,HR,BB,HBP,SF,SH,SB,CS
CHN,1984,762,5437,1415,240,47,136,567,29,51,59,154,66
CHN,1985,686,5492,1397,239,28,150,562,18,39,66,182,49
CHN,1986,680,5499,1409,258,27,155,508,15,51,54,132,62
CHN,1987,720,5583,1475,244,33,209,504,21,30,59,109,48
CHN,1988,660,5675,1481,262,46,113,403,21,46,57,120,46
CHN,1989,702,5513,1438,235,45,124,472,26,50,80,136,57
CHN,1990,690,5600,1474,240,36,136,406,30,51,61,151,50
CHN,1991,695,5522,1395,232,26,159,442,36,55,75,123,64
CHN,1992,593,5590,1420,221,41,104,417,31,40,78,77,51
CHN,1993,738,5627,1521,259,32,161,446,34,42,67,100,43
CHN,1995,693,4963,1315,267,39,158,440,34,35,71,105,37
CHN,1996,772,5531,1388,267,19,175,523,61,48,66,108,50
CHN,1997,687,5489,1444,269,39,127,451,34,38,83,116,60
CHN,1998,831,5649,1494,250,34,212,601,39,37,67,65,44
CHN,1999,747,5482,1411,255,35,189,571,39,44,65,60,44
CHN,2000,764,5577,1426,272,23,183,632,54,45,89,93,37
CHN,2001,777,5406,1409,268,32,194,577,66,53,117,67,36
CHN,2002,706,5496,1351,259,29,200,585,44,39,78,63,21
CHN,2003,724,5519,1431,302,24,172,492,50,46,80,73,31
CHN,2004,789,5628,1508,308,29,235,489,38,48,78,66,28
CHN,2005,703,5584,1506,323,23,194,419,50,37,69,65,39
CHN,2006,716,5587,1496,271,46,166,395,43,37,84,121,49
CHN,2007,752,5643,1530,340,28,151,500,40,37,48,86,33
CHN,2008,855,5588,1552,329,21,184,636,50,45,65,87,34
CHN,2009,707,5486,1398,293,29,161,592,59,42,65,56,34
CHN,2010,685,5512,1414,298,27,149,479,50,38,60,55,31
CHN,2011,654,5549,1423,285,36,148,425,59,35,60,69,23
CIN,1954,729,5234,1369,221,46,147,557,29,51,101,47,30
CIN,1955,761,5270,1424,216,28,181,556,33,43,76,51,36
CIN,1956,775,5291,1406,201,32,221,528,51,43,90,45,22
CIN,1957,747,5389,1452,251,33,187,546,37,48,84,51,36
CIN,1958,695,5273,1359,242,40,123,572,21,38,76,61,38
CIN,1959,764,5288,1448,258,34,161,499,32,50,53,65,28
CIN,1960,640,5289,1324,230,40,140,512,34,45,60,73,37
CIN,1961,710,5243,1414,247,35,158,423,29,51,50,70,33
CIN,1962,802,5645,1523,252,40,167,498,41,32,57,66,39
CIN,1963,648,5416,1333,225,44,122,474,47,41,62,92,58
CIN,1964,660,5561,1383,220,38,130,457,33,37,65,90,36
CIN,1965,825,5658,1544,268,61,183,538,50,36,73,82,40
CIN,1966,692,5521,1434,232,33,149,394,20,39,69,70,50
CIN,1967,604,5519,1366,251,54,109,372,31,34,56,92,63
CIN,1968,690,5767,1573,281,36,106,379,37,39,64,59,55
CIN,1969,798,5634,1558,224,42,171,474,46,47,100,79,56
CIN,1970,775,5540,1498,253,45,191,547,29,48,58,115,52
CIN,1971,586,5414,1306,203,28,138,438,27,25,69,59,33
CIN,1972,707,5241,1317,214,44,124,606,37,54,65,140,63
CIN,1973,741,5505,1398,232,34,137,639,31,51,78,148,55
CIN,1974,776,5535,1437,271,35,135,693,30,46,68,146,49
CIN,1975,840,5581,1515,278,37,124,691,35,45,66,168,36
CIN,1976,857,5702,1599,271,63,141,681,28,60,67,210,57
CIN,1977,802,5524,1513,269,42,181,600,25,50,62,170,64
CIN,1978,710,5392,1378,270,32,136,636,26,54,84,137,58
CIN,1979,731,5477,1445,266,31,132,614,19,46,62,99,47
CIN,1980,707,5516,1445,256,45,113,537,23,54,78,156,43
CIN,1982,545,5479,1375,228,34,82,470,21,41,88,131,69
CIN,1983,623,5333,1274,236,35,107,588,19,45,72,154,77
CIN,1984,627,5498,1342,238,30,106,566,12,53,71,160,63
CIN,1985,677,5431,1385,249,34,114,576,23,41,72,159,70
CIN,1986,732,5536,1404,237,35,144,586,18,41,65,177,53
CIN,1987,783,5560,1478,262,29,192,514,31,34,57,169,46
CIN,1988,641,5426,1334,246,25,122,479,37,51,69,207,56
CIN,1989,632,5520,1362,243,28,128,493,30,49,66,128,71
CIN,1990,693,5525,1466,284,40,125,466,42,42,88,166,66
CIN,1991,689,5501,1419,250,27,164,488,32,41,72,124,56
CIN,1992,660,5460,1418,281,44,99,563,21,52,66,125,65
CIN,1993,722,5517,1457,261,28,137,485,32,66,63,142,59
CIN,1995,747,4903,1326,277,35,161,519,40,50,62,190,68
CIN,1996,778,5455,1398,259,36,191,604,34,49,71,171,63
CIN,1997,651,5484,1386,269,27,142,518,45,30,75,190,67
CIN,1998,750,5496,1441,298,28,138,608,37,49,78,95,42
CIN,1999,865,5649,1536,312,37,209,569,45,44,70,164,54
CIN,2000,825,5635,1545,302,36,200,559,64,58,56,100,38
CIN,2001,735,5583,1464,304,22,176,468,65,40,66,103,54
CIN,2002,709,5470,1386,297,21,169,583,66,40,95,116,52
CIN,2003,694,5509,1349,239,21,182,524,79,32,66,80,34
CIN,2004,750,5518,1380,287,28,194,599,81,25,55,77,25
CIN,2005,820,5565,1453,335,15,222,611,62,39,43,72,23
CIN,2006,749,5515,1419,291,12,217,614,59,38,66,124,33
CIN,2007,783,5607,1496,293,23,204,536,66,46,73,97,31
CIN,2008,704,5475,1351,269,24,187,560,50,41,72,85,47
CIN,2009,673,5462,1349,280,25,158,531,53,41,100,96,40
CIN,2010,790,5579,1515,293,30,188,522,68,50,66,93,43
CIN,2011,735,5612,1438,264,19,183,535,63,40,78,97,50
CLE,1954,746,5222,1368,188,39,156,637,23,59,107,30,33
CLE,1955,698,5146,1325,195,31,148,723,35,59,87,28,24
CLE,1956,712,5148,1256,199,23,153,681,40,38,81,40,32
CLE,1957,682,5171,1304,199,26,140,589,26,53,78,40,47
CLE,1958,694,5201,1340,210,31,161,494,40,36,69,50,49
CLE,1959,745,5288,1390,216,25,167,433,39,40,60,33,36
CLE,1960,667,5296,1415,218,20,127,444,32,52,97,58,25
CLE,1961,737,5609,1493,257,39,150,492,28,50,73,34,11
CLE,1962,682,5484,1341,202,22,180,502,54,45,52,35,16
CLE,1963,635,5496,1314,214,29,169,469,40,43,88,59,36
CLE,1964,689,5603,1386,208,22,164,500,49,42,63,79,51
CLE,1965,663,5469,1367,198,21,156,506,33,40,90,109,46
CLE,1966,574,5474,1300,156,25,155,450,27,33,56,53,41
CLE,1967,559,5461,1282,213,35,131,413,50,28,85,53,65
CLE,1968,516,5416,1266,210,36,75,427,39,37,69,115,61
CLE,1969,573,5365,1272,173,24,119,535,24,43,47,85,37
CLE,1970,649,5463,1358,197,23,183,503,37,45,76,25,36
CLE,1971,543,5467,1303,200,20,109,467,31,29,67,57,37
CLE,1972,472,5207,1220,187,18,91,420,26,33,83,49,53
CLE,1973,680,5592,1429,205,29,158,471,32,43,40,60,68
CLE,1974,662,5474,1395,201,19,131,432,26,31,56,79,68
CLE,1975,688,5404,1409,201,25,153,525,24,40,64,106,89
CLE,1976,615,5412,1423,189,38,85,479,11,60,67,75,69
CLE,1977,676,5491,1476,221,46,100,531,34,54,94,87,87
CLE,1978,639,5365,1400,223,45,106,488,26,40,92,64,63
CLE,1979,760,5376,1388,206,29,138,657,42,60,70,143,90
CLE,1980,738,5470,1517,221,40,89,617,37,74,60,118,58
CLE,1982,683,5559,1458,225,32,109,651,35,40,74,151,68
CLE,1983,704,5476,1451,249,31,86,605,29,64,48,109,71
CLE,1984,761,5643,1498,222,39,123,600,27,67,37,126,77
CLE,1985,729,5527,1465,254,31,116,492,15,48,38,132,72
CLE,1986,831,5702,1620,270,45,157,456,24,49,56,141,54
CLE,1987,742,5606,1476,267,30,187,489,31,42,44,140,54
CLE,1988,666,5505,1435,235,28,134,416,37,51,36,97,50
CLE,1989,604,5463,1340,221,26,127,499,35,41,72,74,51
CLE,1990,732,5485,1465,266,41,110,458,29,61,54,107,52
CLE,1991,576,5470,1390,236,26,79,449,43,46,62,84,58
